Neurite_ID,Length_um,Distance_From_Midline_um,Side,Start_X,Start_Y,End_X,End_Y
1,194.79,215.88,right,330.6,245,376.9,260.2
2,193.25,412.96,right,379.9,260.2,428.2,259.2
3,173.99,168.51,right,328.6,245,360.8,274.3
4,165.85,334.42,right,361.8,275.3,398,295.5
5,210.7,376.9,right,363.8,275.3,416.1,269.2
6,138.68,151.95,right,328.6,247.1,359.7,262.2
7,133.07,156.6,right,331.6,246.1,364.8,248.1
8,56.98,68.22,right,325.5,261.2,335.6,271.3
9,43.6,48.42,right,322.5,269.2,328.6,278.3
10,46.97,62.14,right,318.5,285.4,328.6,291.4
11,319.97,331.38,right,329.6,291.4,381.9,351.9
12,61.04,181.01,right,350.7,315.6,348.7,330.8
13,88.83,157.7,right,343.6,308.6,342.6,330.8
14,78.16,418.24,right,383.9,352.9,403,357
15,54.76,464.52,right,403,357,416.1,352.9
16,61.42,476.94,right,417.1,352.9,423.1,338.8
17,48.4,429.14,right,402,359,402,371.1
18,92.73,542.68,right,425.2,336.8,444.3,323.7
19,254.1,258.53,right,343.6,193.6,407,189.6
20,171.3,392.09,right,407,189.6,446.3,172.4
21,86.86,316.72,right,408.1,191.6,416.1,211.8
22,113.23,291.26,right,405,192.6,407,220.8
23,94.4,273.09,right,409.1,188.6,417.1,166.4
24,74.31,304.93,right,417.1,166.4,429.2,152.3
25,50.93,342.3,right,422.1,165.4,434.2,169.4
26,54.2,224.74,right,417.1,166.4,407,157.3
27,122.46,466.49,right,448.3,173.4,457.4,202.7
28,124.85,504.04,right,418.1,269.2,449.3,268.2
29,86.73,590.18,right,449.3,268.2,469.4,276.3
30,68.43,656.22,right,469.4,276.3,486.5,276.3
