Neurite_ID,Length_um,Distance_From_Midline_um,Side,Start_X,Start_Y,End_X,End_Y
1,95,94.36,right,316,156,335,156
2,98.49,86.45,right,316,156,334,164
3,169.71,110.54,right,316,156,340,180
4,486.54,151.3,right,316,156,353,246
5,25,1.43,right,316,156,316,151
6,22.36,11.04,right,316,156,318,152
7,49.5,37.07,right,316,156,323,149
8,168.08,158.94,right,316,156,347,143
9,185,184.85,right,316,154,353,154
10,98.49,87.18,right,316,154,334,162
11,197.99,129.76,right,316,154,344,182
12,551.54,172.59,right,316,154,358,256
13,15,1.43,right,316,154,316,151
14,15.81,6.42,right,316,154,317,151
15,28.28,21.74,right,316,154,320,150
16,134.63,128.65,right,316,154,341,144
17,110,110.54,right,318,180,340,180
18,53.85,49.24,right,318,180,328,184
19,148.49,97.89,right,318,180,339,201
20,421.54,131.96,right,318,180,350,258
21,140,11.04,right,318,180,318,152
22,161.55,71.61,right,318,180,330,150
23,120.21,91.8,right,318,180,335,163
24,91.92,88.16,right,318,180,335,173
25,160,158.45,right,316,158,348,158
26,103.08,90.71,right,316,158,335,166
27,169.71,109.81,right,316,158,340,182
28,535.77,167.23,right,316,158,357,257
29,35,1.43,right,316,158,316,151
30,38.08,16.39,right,316,158,319,151
31,28.28,20.28,right,316,158,320,154
32,150.42,142.52,right,316,158,344,147
33,100,99.95,right,317,168,337,168
34,195,174.27,right,317,168,353,183
35,127.28,83.42,right,317,168,335,186
36,443.85,139.87,right,317,168,351,250
37,85,6.42,right,317,168,317,151
38,80.78,35.61,right,317,168,323,153
39,205.06,155.41,right,317,168,346,139
40,98.49,92.9,right,317,168,335,160
41,140,141.19,right,318,178,346,178
42,118.85,107.99,right,318,178,340,187
43,226.27,149.47,right,318,178,350,210
44,432.7,136.95,right,318,178,351,258
45,130,11.04,right,318,178,318,152
46,168.08,77.69,right,318,178,331,147
47,169.71,129.99,right,318,178,342,154
48,69.64,68.21,right,318,178,331,173
49,195,195.55,right,316,152,355,152
50,103.08,92.9,right,316,152,335,160
51,205.06,135.11,right,316,152,345,181
52,497.69,157.01,right,316,152,354,244
53,7.07,6.42,right,316,152,317,151
54,42.72,42.05,right,316,152,324,149
55,85,87.18,right,317,162,334,162
56,150.42,138.02,right,317,162,345,173
57,162.63,108.71,right,317,162,340,185
58,459.62,145.95,right,317,162,352,247
59,55,6.42,right,317,162,317,151
60,65,31.72,right,317,162,322,150
61,113.14,88.03,right,317,162,333,146
62,199.62,192.38,right,317,162,354,147
63,85,86.45,right,317,164,334,164
64,69.64,64.68,right,317,164,330,169
65,205.06,135.72,right,317,164,346,193
66,611.92,194.85,right,317,164,364,277
67,65,6.42,right,317,164,317,151
68,80.78,37.07,right,317,164,323,149
69,148.49,114.06,right,317,164,338,143
70,195,186.67,right,317,164,353,149
71,96.22,62.92,right,319.5,209.7,333.6,222.9
72,151.7,155.21,right,320.5,200.7,350.7,203.7
73,355.3,314.82,right,313.5,173.4,381.9,192.6
74,456.09,387.51,right,312.5,165.4,397,199.7
75,369.65,308.44,right,318.5,187.6,382.9,223.9
76,99.99,38.31,right,317.5,233.9,330.6,249.1
77,96.73,57.4,right,318.5,225.9,333.6,238
78,364.33,246.12,right,317.5,209.7,372.8,257.1
