Neurite_ID,Length_um,Distance_From_Midline_um,Side,Start_X,Start_Y,End_X,End_Y
1,50,51.04,right,318,255,328,255
2,80.78,75.4,right,318,255,333,261
3,49.5,35.3,right,318,255,325,262
4,53.85,19.99,right,318,255,322,265
5,125,3.69,right,318,255,318,230
6,746.54,300.54,right,318,255,375,117
7,134.35,98.03,right,318,255,337,236
8,53.85,51.46,right,318,255,328,251
9,45,45.83,right,318,257,327,257
10,49.24,45.41,right,318,257,327,261
11,35.36,25.31,right,318,257,323,262
12,38.08,15.1,right,318,257,321,264
13,135,3.69,right,318,257,318,230
14,210.77,84.93,right,318,257,334,218
15,134.35,97.82,right,318,257,337,238
16,161.55,152.07,right,318,257,348,245
17,35,35.62,right,318,259,325,259
18,42.72,40.3,right,318,259,326,262
19,35.36,25.09,right,318,259,323,264
20,22.36,10.2,right,318,259,320,263
21,145,3.69,right,318,259,318,230
22,221.92,89.93,right,318,259,335,218
23,162.63,118.03,right,318,259,341,236
24,53.85,51.04,right,318,259,328,255
25,125,126.19,right,317,206,342,206
26,80.78,75.57,right,317,206,332,212
27,106.07,74.62,right,317,206,332,221
28,237.7,86.56,right,317,206,335,250
29,250,6.49,right,317,206,317,156
30,298.08,121.99,right,317,206,340,151
31,940.45,680.1,right,317,206,450,73
32,183.85,172.66,right,317,206,351,192
33,295,294.53,right,316,174,375,174
34,183.85,168.08,right,316,174,350,188
35,176.78,121.93,right,316,174,341,199
36,244.23,89.83,right,316,174,335,219
37,85,1.39,right,316,174,316,157
38,103.08,41.59,right,316,174,324,155
39,162.63,116.99,right,316,174,339,151
40,466.15,433.3,right,316,174,402,138
41,120,121.82,right,317,200,341,200
42,96.57,91.09,right,317,200,335,207
43,141.42,99.72,right,317,200,337,220
44,228.47,87.4,right,317,200,335,242
45,220,6.49,right,317,200,317,156
46,260,106.89,right,317,200,337,152
47,636.4,461.24,right,317,200,407,110
48,318.47,299.32,right,317,200,376,176
49,290,289.74,right,316,172,374,172
50,183.85,168.29,right,316,172,350,186
51,176.78,122.14,right,316,172,341,197
52,248.85,89.93,right,316,172,335,218
53,75,1.39,right,316,172,316,157
54,91.92,36.59,right,316,172,323,155
55,141.42,101.89,right,316,172,336,152
56,854.24,796.48,right,316,172,474,107
57,80,80.36,right,317,214,333,214
58,80.78,74.72,right,317,214,332,220
59,219.2,152.07,right,317,214,348,245
60,168.08,62.09,right,317,214,330,245
61,290,6.49,right,317,214,317,156
62,356.55,142.3,right,317,214,344,148
63,1025.3,740.51,right,317,214,462,69
64,125.4,116.4,right,317,214,340,204
65,40,41.25,right,318,253,326,253
66,103.08,95.4,right,318,253,337,261
67,120.21,84.45,right,318,253,335,270
68,65,24.99,right,318,253,323,265
69,115,3.69,right,318,253,318,230
70,735.39,295.54,right,318,253,374,117
71,134.35,98.24,right,318,253,337,234
72,38.08,36.57,right,318,253,325,250
73,95,95.4,right,318,261,337,261
74,103.08,94.55,right,318,261,337,269
75,28.28,19.99,right,318,261,322,265
76,155,3.69,right,318,261,318,230
77,226.55,89.83,right,318,261,335,219
78,162.63,117.82,right,318,261,341,238
79,49.24,45.83,right,318,261,327,257
80,801.21,685.17,right,317.5,196.6,455.3,278.3
81,619.11,628.95,right,320.5,255.1,443.3,239
82,321.8,356.78,right,325.5,255.1,388.9,244
83,248.6,248.99,right,320.5,198.7,366.8,216.8
84,357.01,313.64,right,313.5,197.6,379.9,223.9
85,313.41,323.73,right,320.5,265.2,382.9,271.3
86,349.51,379.91,right,324.5,255.1,394,263.2
87,435.08,441.23,right,319.5,245,406,254.1
88,490.57,494.51,right,319.5,208.7,416.1,225.9
89,444.6,451.26,right,318.5,198.7,407,206.7
90,222.15,257.31,right,324.5,175.5,367.8,185.5
91,692.91,686.62,right,316.5,202.7,454.3,216.8
92,818.46,802.57,right,321.5,215.8,478.5,262.2
93,877.65,563.97,right,316.5,247.1,433.2,378.2
94,705.23,496.21,right,320.5,252.1,419.1,352.9
95,814.14,528.86,right,319.5,254.1,426.2,377.1
96,751.94,500.07,right,317.5,254.1,420.1,364
97,680.27,472.33,right,318.5,244,414.1,340.8
